,Chân dung khách hàng,,,
,Ưu tiên,cân nhắc,Ưu tiên,cân nhắc
Mô tả,,,,
,"1. Nhóm sinh viên ngành kinh tế (tài chính)

Đang tìm hiểu về kiến thức về ngành nghề, kỹ năng cần có trong thị trường lao động","2. Nhóm sinh viên ngành kinh tế (không thuộc nhóm tài chính)
Đang tìm hiểu về kiến thức về ngành nghề, kỹ năng cần có trong thị trường lao động","3. Nhóm nhân viên văn phòng chưa đầu tư chứng khoán

Có thu nhập cố định, đang tìm hiểu về đầu tư chứng khoán","4. Nhóm nhân viên văn phòng đã đầu tư chứng khoán

Có thu nhập cố định, đã đầu tư (dưới 1 năm) và đang tìm phương pháp đầu tư hiệu quả"
Nhân khẩu học,,,,
Tuổi,18 - 24,18 - 24,22 - 35,22 - 35
Giới tính,Nam/Nữ,Nam/Nữ,Nam/Nữ,Nam/Nữ
Nghề nghiệp,"Sinh viên, nhân viên partime","Sinh viên, nhân viên partime","Chuyên viên
Quản lý","Chuyên viên
Quản lý"
Thu nhập,0 - 5000000,0 - 5000000,,
Vị trí địa lý,Việt Nam,Việt Nam,Việt Nam,Việt Nam
Hành vi,,,,
"Các kênh tiếp cận thông tin (website, mạng xã hội, email...)","Website, 
Facebook,  Tiktok, Thread (Social)
Youtube
Trang tin điện tử","Website, 
Facebook,  Tiktok, Thread (Social)
Youtube
Trang tin điện tử","Website, 
Group Facebook, Trang tin điện tử (cafeF, cafeBiz),, Zalo","Website, 
Group Facebook, Trang tin điện tử (cafeF, cafeBiz), Zalo, Telegram"
Nỗi đau và thách thức,,,,
Nhu cầu,"- Muốn tham gia các khóa học để rèn luyện kiến thức
- Muốn có kinh nghiệm thực tế để xin việc
- Cần các chứng chỉ chứng minh năng lực với nhà tuyển dụng","- Muốn tham gia các khóa học để rèn luyện kiến thức
- Cần các chứng chỉ chứng minh năng lực với nhà tuyển dụng",- Muốn bắt đầu đầu tư chứng khoán,"- Muốn đầu tư chứng khoán hiệu quả
- Muốn tìm kiếm các phương pháp, ứng dụng đầu tư thông minh, tối ưu"
,,,,
Nỗi đau,"- Kiến thức học thuật nhiều nhưng không biết áp dụng thực tế
- Thị trường yêu cầu về ứng viên lớn, cạnh tranh
","- Kiến thức học thuật nhiều nhưng không thiếu các kỹ năng ứng dụng thực tế trong công việc
- Thị trường yêu cầu về ứng viên lớn, cạnh tranh
","- Không biết bắt đầu từ đâu, thuật ngữ chứng khoán - tài chính phức tạp
- Không có thời gian theo dõi thị trường hàng ngày
- Sợ mất tiền","- Mất nhiều thời gian, tiền bạc nhưng đầu tư không hiệu quả
- Không có thời gian theo dõi thị trường hàng ngày"
,,,,
Cần gì?,,,,
,"- cần giải pháp học tập kiến thức, kỹ năng hỗ trợ ứng tuyển công việc sau này",,"- Cần giải pháp học tập, đầu tư chứng khoán dễ dàng cho người mới","- Cần 1 giải pháp hỗ trợ phân tích, tư vấn đầu tư chứng khoán hiệu quả"
HVS giải quyết nhu cầu khách hàng như thế nào?,,,,
,"HVS cung cấp hệ sinh thái tư vấn số, với giải pháp học - thực hành - phản hồi:

- Đào tạo bởi các chuyên gia tài chính tại HVS
- Thực hành trên phần mềm HVS Demo
- Phản hồi trực tiếp từ giảng viên, cộng đồng HVS Forum

Nhận chứng chỉ hoàn thiện chương trình đào tạo từ công ty chứng khoán, tăng lợi thế cạnh tranh khi ứng tuyển","HVS cung cấp hệ giải pháp học tập toàn diện: Học - thực hành - phản hồi:

- Bải giảng online, học tập linh hoạt
- Học tập đi đôi với thực hành, mỗi bài giảng luôn có ví dụ và bài tập thực tế trong ngành kế toán, tài chính, marketing,...
- Phản hồi, hỏi đáp trực tiếp với giảng viên, cộng đồng học tập *

""Kiến thức học tập thực tế, ứng dụng cao""","HVS cung cấp hệ sinh thái tư vấn số, với giải pháp học - thực hành - phản hồi:

- Đào tạo bởi các chuyên gia tài chính tại HVS
- Thực hành trên phần mềm HVS Demo
- Phản hồi trực tiếp từ giảng viên, cộng đồng HVS Forum","HVS cung cấp giải pháp môi giới, tư vấn đầu chứng khoán online, hỗ trợ nhà đầu tư ra quyết định và đầu tư tối ưu.

- Phí mở tài khoản tối ưu
- Báo cáo phân tích chuyên sâu, khuyến nghị mua/bán hiệu quả
"
