Article #,URL,?u tiên,Status,Main Topic 1,Subtopic 2,Subtopic 3,Subtopic 4 / Individual Page,Keyword,Search Volume,Tiêu ??,??i t??ng,Lo?i n?i dung,Giai ?o?n,Outline,Google Doc,?ánh giá,,,,,,,,,,,,,,
,,2,Researching,??u t?,Cho ng??i m?i,Cách ??u t?,cách ch?i ch?ng khoán trên ?i?n tho?i,cách ch?i ch?ng khoán trên ?i?n tho?i,,,,,,,,,,,,,,,,,,,,,,
,,1,In Editing,??u t?,Cho ng??i m?i,Cách ??u t?,cách ??u t? ch?ng ch? qu?,cách ??u t? ch?ng ch? qu?,,Cách ??u t? ch?ng ch? qu? hi?u qu? cho ng??i m?i,"Sinh viên, Nhân viên v?n phòng",Comprehensive Guide (H??ng d?n toàn di?n),,,https://docs.google.com/document/d/1X2y9U0-ewpFyZ2LmqD1Zv8zrd_O0LA0o2WEZi5KP61k/edit?tab=t.0,?ã nh?n xét,,,,,,,,,,,,,,
,,1,In Editing,??u t?,Cho ng??i m?i,Cách ??u t?,cách ??u t? ch?ng khoán,cách ??u t? ch?ng khoán,,Cách ??u t? ch?ng khoán cho ng??i m?i,"Sinh viên, Nhân viên v?n phòng",Comprehensive Guide (H??ng d?n toàn di?n),Awareness,"- Chi ti?t các b??c ??u t? ch?ng khoán
- H??ng d?n cách ??u t? hi?u qu? v?i h? sinh thái HVS T? v?n s?",https://docs.google.com/document/d/18XFLIbDvY9-1_92WKDiG2TF6E_adwx8V-zBwALcbnnc/edit?tab=t.0,?ã nh?n xét,,,,,,,,,,,,,,
,,1,In Editing,??u t?,Cho ng??i m?i,Cách ??u t?,cách ??u t? ch?ng khoán phái sinh,Cách ??u t? ch?ng khoán phái sinh,,Cách ??u t? ch?ng khoán phái sinh cho ng??i m?i,"Sinh viên, Nhân viên v?n phòng",Comprehensive Guide (H??ng d?n toàn di?n),Awareness,,https://docs.google.com/document/d/13KsffiHTG1UyAqArIjEO6mCvDpPYI-NQ7wZP5x1GXAY/edit?tab=t.0,?ã nh?n xét,,,,,,,,,,,,,,
,,1,In Editing,??u t?,Cho ng??i m?i,Cách ??u t?,cách ??u t? ch?ng khoán v?i s? v?n nh?,Cách ??u t? ch?ng khoán v?i s? v?n nh?,,Cách ??u t? ch?ng khoán v?i s? v?n nh? cho ng??i m?i,"Sinh viên, Nhân viên v?n phòng",Comprehensive Guide (H??ng d?n toàn di?n),Awareness,,https://docs.google.com/document/d/1sKAva5y32WLE8m2zsNzuLCBqihLs4J6uNJpf2chw4dM/edit?tab=t.0,??t,,,,,,,,,,,,,,
,,1,In Editing,??u t?,Cho ng??i m?i,Cách ??u t?,cách mua c? phi?u,cách mua c? phi?u,,Cách mua c? phi?u online cho ng??i m?i b?t ??u,"Sinh viên, Nhân viên v?n phòng",Comprehensive Guide (H??ng d?n toàn di?n),Awareness,,https://docs.google.com/document/d/158_3V9Z_Zn7B9tJ7DMP1q-CSvGZzEj9JCaDQ1xOapX0/edit?tab=t.0,?ã nh?n xét,,,,,,,,,,,,,,
,,2,Researching,??u t?,Cho ng??i m?i,Cách mua c? phi?u,Cách mua c? phi?u mb bank,Cách mua c? phi?u mb bank,,,Nhân viên v?n phòng,How-To Guide (H??ng d?n cách làm),Awareness,"Cách mua c? phi?u {mã c? phi?u}: b??c 1, b??c 2,..
??u t? ch?ng khoán MBB an toàn, hi?u qu? v?i h? sinh thái HVS => ??u t? mô ph?ng,",,,,,,,,,,,,,,,,
,,2,Researching,??u t?,Cho ng??i m?i,Cách mua c? phi?u,Cách mua c? phi?u VCB,Cách mua c? phi?u VCB,,,Nhân viên v?n phòng,How-To Guide (H??ng d?n cách làm),Awareness,,,,,,,,,,,,,,,,,
,,2,Researching,??u t?,Cho ng??i m?i,Cách mua c? phi?u,cách mua c? phi?u fpt,cách mua c? phi?u fpt,,,Nhân viên v?n phòng,How-To Guide (H??ng d?n cách làm),Awareness,,,,,,,,,,,,,,,,,
,,2,Researching,??u t?,Cho ng??i m?i,Cách mua c? phi?u,Cách mua c? phi?u Vinamilk,Cách mua c? phi?u Vinamilk,,,Nhân viên v?n phòng,How-To Guide (H??ng d?n cách làm),Awareness,,,,,,,,,,,,,,,,,
